epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.312,1.04034,2.33584,1.44582,0.5637,0.13879,0.47244,0.28147,1.11836,3.5702,1.66038,0.0006,0.0006,0.0006
2,292.077,1.14095,2.00496,1.5261,0.24532,0.52632,0.27945,0.13854,1.61397,6.50847,2.52646,0.00119584,0.00119584,0.00119584
3,431.085,1.27973,2.08835,1.63131,0.17082,0.36842,0.12231,0.04646,2.13384,4.97483,2.77266,0.00176714,0.00176714,0.00176714
4,568.018,1.29185,1.86237,1.62182,0.33814,0.63158,0.46647,0.12905,1.88117,6.72796,2.46116,0.0018812,0.0018812,0.0018812
5,708.608,1.3508,1.8881,1.67824,0.19259,0.31579,0.1301,0.02398,2.85265,3.52353,3.81608,0.0018416,0.0018416,0.0018416
6,843.032,1.2747,1.7285,1.60703,0.04814,0.26316,0.03523,0.01155,2.94007,6.45526,3.23065,0.001802,0.001802,0.001802
7,998.356,1.29444,1.71895,1.60884,0.60315,0.52632,0.53498,0.24489,1.45188,4.06012,1.94103,0.0017624,0.0017624,0.0017624
8,1139.83,1.17245,1.47164,1.52677,0.68849,0.52632,0.60976,0.23912,1.66298,2.43016,1.9956,0.0017228,0.0017228,0.0017228
9,1280.99,1.18061,1.46109,1.53374,0.4678,0.78656,0.50259,0.24414,1.55241,3.70222,2.07389,0.0016832,0.0016832,0.0016832
10,1421.54,1.14581,1.37054,1.49256,0.582,0.68421,0.59031,0.25726,1.53328,2.44381,2.14207,0.0016436,0.0016436,0.0016436
11,1562.35,1.09639,1.29752,1.44414,0.41172,0.63158,0.44316,0.21695,1.968,2.13415,2.48554,0.001604,0.001604,0.001604
12,1702.98,1.21549,1.34793,1.49685,0.82658,0.68421,0.71428,0.50804,1.37044,1.83933,1.8599,0.0015644,0.0015644,0.0015644
13,1843.26,1.08077,1.22339,1.43778,0.5865,0.57895,0.57995,0.36027,1.58281,2.08013,2.07544,0.0015248,0.0015248,0.0015248
14,1983.59,1.01611,1.17842,1.38154,0.90372,0.84211,0.82313,0.53672,1.20288,1.85484,1.62388,0.0014852,0.0014852,0.0014852
15,2119.21,1.02637,1.1654,1.41216,0.7988,0.57895,0.61422,0.33004,1.77374,1.86711,2.16925,0.0014456,0.0014456,0.0014456
16,2254.73,0.97968,1.08572,1.36076,0.82138,0.78947,0.7474,0.45958,1.46928,1.34952,1.96696,0.001406,0.001406,0.001406
17,2389.15,0.95683,1.0392,1.36332,0.76446,0.73684,0.74953,0.49237,1.27736,1.37998,1.62308,0.0013664,0.0013664,0.0013664
18,2524.18,0.98301,1.04956,1.3821,0.84201,0.68421,0.75386,0.48556,1.10581,1.50796,1.54416,0.0013268,0.0013268,0.0013268
19,2659.38,0.92412,0.98993,1.34325,0.69857,0.78947,0.72427,0.41996,1.37161,1.54587,1.83258,0.0012872,0.0012872,0.0012872
20,2794.39,0.8741,0.96616,1.3005,0.7736,0.72003,0.77678,0.50894,1.17051,1.23876,1.59237,0.0012476,0.0012476,0.0012476
21,2929.25,0.88308,0.9578,1.30731,0.72973,0.84211,0.77866,0.56194,1.07122,1.17758,1.4472,0.001208,0.001208,0.001208
22,3067.11,0.88971,0.89937,1.28815,0.7506,0.84211,0.80222,0.60431,1.00935,1.16924,1.45531,0.0011684,0.0011684,0.0011684
23,3202.45,0.87669,0.87226,1.30026,0.77784,0.78947,0.76519,0.54421,1.20642,1.29092,1.55304,0.0011288,0.0011288,0.0011288
24,3339.06,0.83336,0.88566,1.26039,0.82335,0.73601,0.80326,0.62437,0.9964,1.01569,1.46571,0.0010892,0.0010892,0.0010892
25,3476.63,0.80499,0.86211,1.24622,0.81722,0.73684,0.80572,0.55827,1.20053,1.13024,1.55146,0.0010496,0.0010496,0.0010496
26,3614.5,0.83529,0.86459,1.24981,0.77339,0.73684,0.82352,0.61086,1.01296,1.00328,1.3799,0.00101,0.00101,0.00101
27,3754.46,0.79503,0.80295,1.2686,0.79555,0.84211,0.79968,0.59689,0.98199,1.10206,1.48987,0.0009704,0.0009704,0.0009704
28,3898.71,0.79605,0.79897,1.24909,0.78633,0.78947,0.83061,0.61498,1.02703,1.02408,1.4124,0.0009308,0.0009308,0.0009308
29,4037.47,0.76919,0.7561,1.22556,0.82805,0.76112,0.80456,0.65975,0.89464,0.99166,1.31926,0.0008912,0.0008912,0.0008912
30,4176.16,0.77257,0.80406,1.24956,0.93654,0.77733,0.83415,0.64246,0.95367,0.98889,1.3385,0.0008516,0.0008516,0.0008516
